"time_hh","doc_mgl"
0.00,0.189951
0.00138886666666671,0.189951
0.00277775555555554,0.20373
0.00416664444444442,0.24113
0.00555553333333336,0.29034
0.00694442222222225,0.373013
0.00833331111111107,0.434034
0.00972220000000001,0.518675
0.0111110888888889,0.597412
0.0124999777777778,0.666306
0.0138888666666667,0.741105
0.0152777555555555,0.808031
0.0166666444444444,0.902515
0.0180555333333334,0.967472
0.0194444222222222,1.01865
0.0208333111111111,1.13085
0.0222222,1.18793
0.0236110888888889,1.2647
0.0249999777777777,1.33556
0.0263888666666667,1.41036
0.0277777555555556,1.4458
0.0291666444444444,1.49501
0.0305555333333333,1.5639
0.0319444222222222,1.61508
0.0333333111111111,1.68397
0.0347222,1.73909
0.0361110888888889,1.76468
0.0374999777777777,1.87688
0.0388888666666667,1.95364
0.0402777555555556,1.98317
0.0416666444444444,2.01663
0.0430555333333333,2.06584
0.0444444222222222,2.12096
0.0458333111111111,2.19773
0.0472222,2.22725
0.0486110888888889,2.2489
0.0499999777777778,2.31189
0.0513888666666667,2.36701
0.0527777555555555,2.40441
0.0541666444444444,2.4359
0.0555555333333334,2.48905
0.0569444222222222,2.51858
0.0583333111111111,2.54417
0.0597222,2.59338
0.0611110888888889,2.63078
0.0624999777777778,2.64062
0.0638888666666667,2.71148
0.0652777555555555,2.7666
0.0666666444444444,2.79809
0.0680555333333334,2.83549
0.0694444222222222,2.84927
0.0708333111111111,2.86698
0.0722222,2.91423
0.0736110888888889,2.93391
0.0749999777777778,2.96147
0.0763888666666667,2.99887
0.0777777555555555,3.01265
0.0791666444444444,3.06186
0.0805555333333334,3.1091
0.0819444222222222,3.13863
0.0833333111111111,3.18193
0.0847222,3.19374
0.0861110888888889,3.20161
0.0874999777777777,3.21539
0.0888888666666667,3.25082
0.0902777555555556,3.29019
0.0916666444444444,3.31578
0.0930555333333333,3.34531
0.0944444222222222,3.34334
0.0958333111111111,3.36499
0.0972222,3.42404
0.0986110888888889,3.44176
0.0999999777777777,3.42798
0.101388866666667,3.47325
0.102777755555556,3.50851
0.104166644444444,3.50654
0.105555533333333,3.53016
0.106944422222222,3.54591
0.108333311111111,3.54001
0.1097222,3.57937
0.111111088888889,3.59512
0.112499977777778,3.57544
0.113888866666667,3.59906
0.115277755555556,3.65614
0.116666644444444,3.6581
0.118055533333333,3.67385
0.119444422222222,3.69353
0.120833311111111,3.69747
0.1222222,3.71912
0.123611088888889,3.72109
0.124999977777778,3.74077
0.126388866666667,3.74471
0.127777755555556,3.76636
0.129166644444444,3.79195
0.130555533333333,3.78998
0.131944422222222,3.8077
0.133333311111111,3.83328
0.1347222,3.86675
0.136111088888889,3.86675
0.137499977777778,3.87856
0.138888866666667,3.8884
0.140277755555556,3.88446
0.141666644444444,3.87856
0.143055533333333,3.89233
0.144444422222222,3.95335
0.145833311111111,3.96713
0.1472222,3.95729
0.148611088888889,3.95335
0.149999977777778,3.94941
0.151388866666667,3.95138
0.152777755555555,3.96516
0.154166644444444,3.97303
0.155555533333333,3.97894
0.156944422222222,4.03405
0.158333311111111,3.99665
0.1597222,4.00256
0.161111088888889,4.02618
0.162499977777778,4.05964
0.163888866666667,4.05177
0.165277755555556,4.05373
0.166666644444444,4.03996
0.168055533333333,4.03799
0.169444422222222,4.03012
0.170833311111111,4.02224
0.1722222,4.01831
0.173611088888889,4.04192
0.174999977777778,4.05373
0.176388866666667,4.04192
0.177777755555555,4.07932
0.179166644444444,4.09113
0.180555533333333,4.10097
0.181944422222222,4.0872
0.183333311111111,4.0557
0.1847222,4.07735
0.186111088888889,4.08916
0.187499977777778,4.07539
0.188888866666667,4.05964
0.190277755555556,4.07539
0.191666644444444,4.08129
0.193055533333333,4.07735
0.194444422222222,4.10491
0.195833311111111,4.12656
0.1972222,4.08523
0.198611088888889,4.10097
0.199999977777778,4.09113
0.201388866666667,4.08129
0.202777755555555,4.07932
0.204166644444444,4.11278
0.205555533333333,4.11278
0.206944422222222,4.12066
0.208333311111111,4.10885
0.2097222,4.12263
0.211111088888889,4.09113
0.212499977777778,4.10688
0.213888866666667,4.11869
0.215277755555555,4.09704
0.216666644444444,4.05964
0.218055533333333,4.10097
0.219444422222222,4.10885
0.220833311111111,4.10294
0.2222222,4.0931
0.223611088888889,4.10097
0.224999977777778,4.12656
0.226388866666667,4.12066
0.227777755555556,4.12066
0.229166644444444,4.12853
0.230555533333333,4.10491
0.231944422222222,4.08916
0.233333311111111,4.12656
0.2347222,4.14821
0.236111088888889,4.14034
0.237499977777778,4.12853
0.238888866666667,4.1364
0.240277755555555,4.13247
0.241666644444444,4.1305
0.243055533333333,4.12656
0.244444422222222,4.11082
0.245833311111111,4.09113
0.2472222,4.10097
0.248611088888889,4.10885
0.249999977777778,4.0931
0.251388866666667,4.08916
0.252777755555556,4.08916
0.254166644444444,4.12459
0.255555533333333,4.1305
0.256944422222222,4.11672
0.258333311111111,4.12459
0.2597222,4.10885
0.261111088888889,4.11672
0.262499977777778,4.11475
0.263888866666667,4.11278
0.265277755555555,4.09704
0.266666644444444,4.10688
0.268055533333333,4.12656
0.269444422222222,4.13444
0.270833311111111,4.10688
0.2722222,4.10688
0.273611088888889,4.0931
0.274999977777778,4.10294
0.276388866666667,4.09507
0.277777755555555,4.11278
0.279166644444444,4.10491
0.280555533333333,4.10097
0.281944422222222,4.06554
0.283333311111111,4.05373
0.2847222,4.06751
0.286111088888889,4.06948
0.287499977777778,4.06161
0.288888866666667,4.03996
0.290277755555556,4.05767
0.291666644444444,4.02224
0.293055533333333,4.03996
0.294444422222222,4.07735
0.295833311111111,4.0498
0.2972222,4.03996
0.298611088888889,4.01634
0.299999977777778,4.00059
0.301388866666667,4.02027
0.302777755555555,4.0065
0.304166644444444,4.05767
0.305555533333333,4.05964
0.306944422222222,4.04783
0.308333311111111,4.02027
0.3097222,4.0065
0.311111088888889,4.0498
0.312499977777778,4.03602
0.313888866666667,4.03208
0.315277755555556,4.01831
0.316666644444444,4.04783
0.318055533333333,4.03208
0.319444422222222,4.07735
0.320833311111111,4.06358
0.3222222,4.04783
0.323611088888889,4.02421
0.324999977777778,4.04192
0.326388866666667,4.00256
0.327777755555555,3.99665
0.329166644444444,4.02815
0.330555533333333,3.99075
0.331944422222222,4.00256
0.333333311111111,4.00453
0.3347222,4.0124
0.336111088888889,4.00256
0.337499977777778,4.00846
0.338888866666667,3.99075
0.340277755555555,4.00059
0.341666644444444,4.00059
0.343055533333333,4.03208
0.344444422222222,4.00846
0.345833311111111,4.00846
0.3472222,3.99665
0.348611088888889,4.00453
0.349999977777778,4.0065
0.351388866666667,3.97303
0.352777755555556,4.00846
0.354166644444444,4.02027
0.355555533333333,4.02815
0.356944422222222,4.03602
0.358333311111111,4.01634
0.3597222,3.97697
0.361111088888889,3.98091
0.362499977777778,3.98288
0.363888866666667,3.96122
0.365277755555555,3.99272
0.366666644444444,3.975
0.368055533333333,3.95138
0.369444422222222,3.94351
0.370833311111111,3.9691
0.3722222,3.95335
0.373611088888889,3.93957
0.374999977777778,3.96516
0.376388866666667,3.98681
0.377777755555556,3.9691
0.379166644444444,3.95729
0.380555533333333,3.97894
0.381944422222222,3.97107
0.383333311111111,4.00059
0.3847222,3.98091
0.386111088888889,3.97107
0.387499977777778,3.97107
0.388888866666667,3.99075
0.390277755555555,4.01634
